symbol,date,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap
PG,2019-06-30,67684000000.0,0.0127483840077,34768000000.0,32916000000.0,1900000000.0,19084000000.0,20984000000.0,5487000000.0,509000000.0,6069000000.0,2103000000.0,0.0,0.0,3897000000.0,263000000.0,3897000000.0,1.45,1.43,2503600000.0,2539500000.0,2.95254971451,0.486318775486,0.122791206193,0.0810679037882,0.0575763843744,0.175743159388,8311000000.0,5487000000.0,3897000000.0,0.0896666863661,0.0575763843744,4239000000.0,6048000000.0,10287000000.0,4951000000.0,5017000000.0,22473000000.0,21271000000.0,64488000000.0,0.0,0.0,92622000000.0,1.15095e+11,11260000000.0,9697000000.0,30011000000.0,20395000000.0,30092000000.0,0.0,0.0,0.0,37505000000.0,67516000000.0,0.0,94918000000.0,47579000000.0,6048000000.0,25853000000.0,0.0,0.0,2824000000.0,515000000.0,15242000000.0,3347000000.0,-3945000000.0,-5003000000.0,-3578000000.0,-969000000.0,-5003000000.0,-7498000000.0,-9994000000.0,-88000000.0,1670000000.0,11895000000.0,0.0
PG,2018-06-30,66832000000.0,0.0272679762673,34268000000.0,32564000000.0,1900000000.0,18853000000.0,20753000000.0,13711000000.0,506000000.0,13326000000.0,3465000000.0,0.0,0.0,9750000000.0,265000000.0,9750000000.0,3.75,3.67,2529300000.0,2656700000.0,2.75153385779,0.487251615992,0.247561048599,0.205156212593,0.145888197271,0.16683624611,16545000000.0,13711000000.0,9750000000.0,0.199395499162,0.145888197271,2569000000.0,9281000000.0,11850000000.0,4686000000.0,4738000000.0,23320000000.0,20600000000.0,69077000000.0,0.0,0.0,94990000000.0,1.1831e+11,10344000000.0,10423000000.0,28237000000.0,20863000000.0,31286000000.0,0.0,0.0,0.0,37190000000.0,65427000000.0,0.0,98641000000.0,52883000000.0,9281000000.0,28717000000.0,0.0,0.0,2834000000.0,395000000.0,14867000000.0,3717000000.0,-109000000.0,-7004000000.0,-3492000000.0,-2873000000.0,-7004000000.0,-7310000000.0,-14375000000.0,19000000.0,-3000000000.0,11150000000.0,0.0
PG,2017-06-30,65058000000.0,-0.00369071501861,32535000000.0,32523000000.0,1900000000.0,18568000000.0,20468000000.0,13955000000.0,465000000.0,13257000000.0,3063000000.0,0.0,0.0,15326000000.0,247000000.0,15326000000.0,5.8,5.59,2598100000.0,2740400000.0,2.64049043935,0.499907774601,0.257846844354,0.214500906883,0.235574410526,0.144009960343,16775000000.0,13955000000.0,15326000000.0,0.203772018814,0.235574410526,5569000000.0,9568000000.0,15137000000.0,4594000000.0,4624000000.0,26494000000.0,19893000000.0,68886000000.0,0.0,0.0,93912000000.0,1.20406e+11,9632000000.0,13554000000.0,30210000000.0,18038000000.0,31592000000.0,0.0,0.0,0.0,34418000000.0,64628000000.0,0.0,96124000000.0,55778000000.0,9568000000.0,26023000000.0,0.0,0.0,2820000000.0,351000000.0,12753000000.0,3384000000.0,-16000000.0,-5204000000.0,-5689000000.0,-4931000000.0,-5204000000.0,-7236000000.0,-8568000000.0,-29000000.0,-1533000000.0,9369000000.0,0.0
PG,2016-06-30,65299000000.0,-0.143945253608,32909000000.0,32390000000.0,1900000000.0,18949000000.0,20849000000.0,13441000000.0,579000000.0,13369000000.0,3342000000.0,0.0,0.0,10508000000.0,255000000.0,10508000000.0,3.8,3.69,2698900000.0,2844400000.0,2.61425959781,0.496025972833,0.252974777562,0.205837761681,0.160921300479,0.185623057015,16519000000.0,13441000000.0,10508000000.0,0.204735141426,0.160921300479,7102000000.0,6246000000.0,13348000000.0,4373000000.0,4716000000.0,33782000000.0,19385000000.0,68877000000.0,0.0,1507000000.0,93354000000.0,1.27136e+11,9325000000.0,11653000000.0,30770000000.0,18945000000.0,30598000000.0,0.0,0.0,0.0,38383000000.0,69153000000.0,0.0,87953000000.0,57983000000.0,6246000000.0,23496000000.0,0.0,0.0,3078000000.0,335000000.0,15435000000.0,3314000000.0,-186000000.0,-4004000000.0,-5575000000.0,-2213000000.0,-4004000000.0,-7436000000.0,-9213000000.0,-381000000.0,266000000.0,12121000000.0,0.0
PG,2015-06-30,76279000000.0,-0.0816618911175,38876000000.0,37403000000.0,2000000000.0,23585000000.0,25585000000.0,11790000000.0,626000000.0,11846000000.0,2916000000.0,0.0,0.0,7036000000.0,259000000.0,7036000000.0,2.5,2.44,2711700000.0,2883600000.0,2.52704952143,0.490344655803,0.195650178948,0.15456416576,0.0922403282686,0.142529398655,14924000000.0,11790000000.0,7036000000.0,0.155298312773,0.0922403282686,6845000000.0,4767000000.0,11612000000.0,4861000000.0,5454000000.0,29646000000.0,20268000000.0,74145000000.0,0.0,1356000000.0,99849000000.0,1.29495e+11,8257000000.0,12021000000.0,29790000000.0,18329000000.0,30350000000.0,0.0,0.0,0.0,36655000000.0,66445000000.0,0.0,84807000000.0,63050000000.0,4767000000.0,23505000000.0,0.0,0.0,3134000000.0,337000000.0,14608000000.0,3736000000.0,-137000000.0,-4604000000.0,-2891000000.0,-3512000000.0,-4604000000.0,-7287000000.0,-13019000000.0,-411000000.0,-1713000000.0,10872000000.0,0.0
PG,2014-06-30,83062000000.0,-0.0131286608766,42460000000.0,40602000000.0,2000000000.0,25314000000.0,27314000000.0,15288000000.0,709000000.0,14885000000.0,3178000000.0,0.0,0.0,11643000000.0,253000000.0,11643000000.0,4.19,4.01,2719800000.0,2904700000.0,2.37924742658,0.48881558354,0.221870410055,0.184055284005,0.140172401339,0.1217163083,18429000000.0,15288000000.0,11643000000.0,0.179203486552,0.140172401339,8558000000.0,2128000000.0,10686000000.0,6386000000.0,6759000000.0,31617000000.0,22304000000.0,84547000000.0,0.0,1092000000.0,1.12649e+11,1.44266e+11,8461000000.0,15606000000.0,33726000000.0,19811000000.0,35417000000.0,0.0,0.0,0.0,40564000000.0,74290000000.0,0.0,84990000000.0,69976000000.0,2128000000.0,26859000000.0,0.0,0.0,3141000000.0,360000000.0,13958000000.0,3848000000.0,-24000000.0,-6005000000.0,-4068000000.0,-4095000000.0,-6005000000.0,-6911000000.0,-7279000000.0,39000000.0,2611000000.0,10110000000.0,0.0
GIS,2019-05-26,16865200000.0,0.0714594292394,11108400000.0,5756800000.0,221900000.0,2935800000.0,3157700000.0,2515900000.0,521800000.0,1788200000.0,367800000.0,0.0,0.0,1752700000.0,0.0,1752700000.0,2.92,2.9,600400000.0,605400000.0,1.95193260654,0.341341934872,0.185945022887,0.149177003534,0.103924056637,0.134561108081,3136000000.0,2515900000.0,1752700000.0,0.106028982757,0.103924056637,450000000.0,52800000.0,502800000.0,1708500000.0,1559300000.0,4186500000.0,3787200000.0,21162600000.0,52800000.0,534600000.0,25924700000.0,30111200000.0,2854100000.0,1396500000.0,7087100000.0,11624800000.0,13021300000.0,0.0,37500000.0,0.0,15104700000.0,23056700000.0,0.0,14996700000.0,7054500000.0,105600000.0,12571300000.0,0.0,864900000.0,620100000.0,84900000.0,2807000000.0,537600000.0,-0.0,-1100000.0,-579600000.0,-1493800000.0,-1100000.0,-1181700000.0,-2176400000.0,-23100000.0,51000000.0,2269400000.0,0.0
GIS,2018-05-27,15740400000.0,0.00772096953866,10312900000.0,5427500000.0,219100000.0,2752600000.0,2971700000.0,2509300000.0,373700000.0,1884000000.0,57300000.0,0.0,0.0,2131000000.0,0.0,2131000000.0,3.69,3.64,576800000.0,585700000.0,1.9458767287,0.344813346548,0.198730654875,0.159417803868,0.135384107138,0.140930344845,3128100000.0,2509300000.0,2131000000.0,0.119692002745,0.135384107138,399000000.0,28900000.0,427900000.0,1712600000.0,1642200000.0,4123700000.0,4047200000.0,21510100000.0,26900000.0,520800000.0,26500300000.0,30624000000.0,2746200000.0,1600100000.0,7341900000.0,12668700000.0,14268800000.0,0.0,94800000.0,0.0,16013500000.0,24482900000.0,0.0,14459600000.0,6141100000.0,55800000.0,13869800000.0,0.0,1127500000.0,618800000.0,77000000.0,2841000000.0,622700000.0,-8035800000.0,-601600000.0,-8653600000.0,-600100000.0,368300000.0,-1139700000.0,5445500000.0,31800000.0,-367100000.0,2218300000.0,0.0
GIS,2017-05-28,15619800000.0,-0.056951899101,10056000000.0,5563800000.0,218200000.0,2801300000.0,3019500000.0,2566400000.0,295100000.0,1941600000.0,655200000.0,0.0,0.0,1657500000.0,0.0,1657500000.0,2.82,2.77,587100000.0,598000000.0,1.89816053512,0.35620174394,0.202947540942,0.164304280465,0.106115315177,0.104284305817,3170000000.0,2566400000.0,1657500000.0,0.124303768294,0.106115315177,766100000.0,275400000.0,1041500000.0,1454400000.0,1483600000.0,4061400000.0,3687700000.0,13277600000.0,0.0,973400000.0,17751200000.0,21812600000.0,2119800000.0,604700000.0,5330800000.0,7642900000.0,8247600000.0,0.0,58000000.0,0.0,10885400000.0,17484700000.0,0.0,13138900000.0,4327900000.0,275400000.0,7481500000.0,0.0,1268500000.0,603600000.0,95700000.0,2313300000.0,684400000.0,-0.0,-1651500000.0,-665400000.0,-1000000000.0,-1651500000.0,-1135100000.0,-1645500000.0,-18500000.0,2400000.0,1628900000.0,0.0
GIS,2016-05-29,16563100000.0,-0.0605321520337,10733600000.0,5829500000.0,222100000.0,3118900000.0,3341000000.0,2707400000.0,303800000.0,1941400000.0,755200000.0,0.0,0.0,1697400000.0,0.0,1697400000.0,2.83,2.77,598900000.0,611900000.0,1.75142997222,0.351957061178,0.200173880493,0.163459738817,0.102480815789,0.114743013083,3315500000.0,2707400000.0,1697400000.0,0.11721235759,0.102480815789,763700000.0,174200000.0,937900000.0,1390400000.0,1413700000.0,3937200000.0,3743600000.0,13279800000.0,12700000.0,1231000000.0,17775100000.0,21712300000.0,2046500000.0,1103400000.0,5014700000.0,7057700000.0,8161100000.0,0.0,110500000.0,0.0,10544900000.0,16782100000.0,0.0,12616500000.0,4930200000.0,186900000.0,7397400000.0,0.0,1222500000.0,608100000.0,89800000.0,2629800000.0,729300000.0,-84000000.0,-606700000.0,85300000.0,-1000400000.0,-606700000.0,-1071700000.0,-2285600000.0,-8100000.0,429500000.0,1900500000.0,0.0
