symbol,companyName,sector,industry,exchange,ceo,description,website,mktCap,volAvg,beta,price
CMCSA,Comcast Corporation Class A Common Stock,Consumer Cyclical,Entertainment,Nasdaq Global Select,Brian L. Roberts,"Comcast Corp is a media and technology company. It mainly involves in the cable industry and owns Comcast Cable, E!, NBCUniversal, and the NBC broadcast network.",https://corporate.comcast.com,1.68782627E11,29103247,1.061551,36.98
KMI,Kinder Morgan Inc.,Energy,Oil & Gas - Midstream,New York Stock Exchange,Steven J. Kean,"Kinder Morgan Inc is an energy infrastructure company. The Company transports natural gas, refined petroleum products, crude oil, condensate, CO2 and other products.",http://www.kindermorgan.com,3.29337016E10,20640804,0.75548,14.56
INTC,Intel Corporation,Technology,Semiconductors,Nasdaq Global Select,Brian M. Krzanich,"Intel Corp is the world's largest chipmaker. It engaged in making a semiconductor chip. It designs and manufactures integrated digital technology products like integrated circuits, for industries such as computing and communications.",http://www.intel.com,2.43327975E11,32403898,0.90978,57.47
MU,Micron Technology Inc.,Technology,Semiconductors,Nasdaq Global Select,,"Micron Technology Inc along with its subsidiaries provide memory and storage solutions. Its product portfolio consists of memory and storage technologies such as DRAM, NAND, NOR and 3D XPoint memory.",http://www.micron.com,5.0115281E10,31137558,1.951096,45.06
GE,General Electric Company,Industrials,Industrial Products,New York Stock Exchange,John L. Flannery,"General Electric Co is a digital industrial company. It operates in various segments, including power and water, oil and gas, energy management, aviation, healthcare, transportation, appliances and lighting, and more.",http://www.ge.com,5.6856084E10,101135587,1.177065,6.5
BAC,Bank of America Corporation,Financial Services,Banks,New York Stock Exchange,Brian T. Moynihan,"Bank of America Corporation is a bank holding and a financial holding company. The company provides financial products and services to people, companies and institutional investors.",http://www.bankofamerica.com,2.00230306E11,88702619,1.643338,23.08
AAPL,Apple Inc.,Technology,Computer Hardware,Nasdaq Global Select,Timothy D. Cook,"Apple Inc is designs, manufactures and markets mobile communication and media devices and personal computers, and sells a variety of related software, services, accessories, networking solutions and third-party digital content and applications.",http://www.apple.com,1.26482003E12,50819157,1.228499,289.07
MSFT,Microsoft Corporation,Technology,Application Software,Nasdaq Global Select,Satya Nadella,"Microsoft Corp is a technology company. It develop, license, and support a wide range of software products and services. Its business is organized into three segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing.",http://www.microsoft.com,1.32384109E12,55943544,1.231028,174.57
SIRI,Sirius XM Holdings Inc.,Consumer Cyclical,Entertainment,Nasdaq Global Select,James E. Meyer,"Sirius XM Holdings Inc is a radio company. It offers commercial-free music, sports and live events, news and comedy, exclusive talk and entertainment, and a range of Latin commercial-free music and sports.",http://www.siriusxm.com,2.53988966E10,29543904,1.011804,5.8
HPQ,HP Inc.,Technology,Computer Hardware,New York Stock Exchange,Dion J. Weisler,"HP Inc provides products, technologies, software, solutions and services to individual consumers, small- and medium-sized businesses including customers in the government, health and education sectors.",http://www.hp.com,2.10317701E10,15001026,1.503372,14.71
CZR,Caesars Entertainment Corporation,Consumer Cyclical,Travel & Leisure,Nasdaq Global Select,,"Caesars Entertainment Corp along is engaged in providing casino-entertainment and hospitality services. Its facilities include gaming offerings, food and beverage outlets, hotel and convention space, and non-gaming entertainment options.",http://www.caesars.com,6.3723924E9,22156285,1.391231,9.34
SNAP,Snap Inc. Class A,Technology,Online Media,New York Stock Exchange,Evan Spiegel,"Snap Inc is a camera application developer. Its main product is Snapchat, a camera application created to help people communicate through short videos and images. It also offers Spectacles, which are camera-enabled sunglasses.",http://www.snap.com,2.42689393E10,35207744,1.077932,16.79
FB,Facebook Inc.,Technology,Online Media,Nasdaq Global Select,Mark Zuckerberg,"Facebook Inc is the world's largest online social network. Its products are Facebook, Instagram, Messenger, WhatsApp, and Oculus. Its products enable people to connect and share through mobile devices and personal computers.",http://www.facebook.com,5.7662728E11,24428303,1.062394,202.27
WFC,Wells Fargo & Company,Financial Services,Banks,New York Stock Exchange,Timothy Sloan,Wells Fargo & Co operates as one of the largest banks in the United States. Its business operations are split into three segments: Community banking; Wholesale banking; and Wealth and Investment Management.,http://www.wellsfargo.com,1.13019953E11,38861638,1.115514,27.59
AIG,American International Group Inc.,Financial Services,Insurance,New York Stock Exchange,Brian Duperreault,"American International Group Inc is an insurance company. The company through its subsidiaries provides property casualty insurance, life insurance, retirement products, mortgage insurance and other financial services in the United States and abroad.",http://www.aig.com,2.0584831E10,9379322,1.187183,23.9
T,AT&T Inc.,Communication Services,Communication Services,New York Stock Exchange,Randall L. Stephenson,"AT&T Inc is engaged in provision of communications and digital entertainment services in the United States and the world. It provides fixed-line services, including voice, data, and television services to consumers and small businesses.",http://www.att.com,2.13037498E11,47615596,0.580101,29.9
C,Citigroup Inc.,Financial Services,Banks,New York Stock Exchange,Michael L. Corbat,"Citigroup Inc is a financial-services company with business spanning more than 100 countries. Its core business is providing banking services, investment banking, cash management, and various other products and services.",http://www.citigroup.com,9.4763532E10,27986057,1.809443,45.52
VALE,VALE S.A. American Depositary Shares Each Representing one,Basic Materials,Metals & Mining,New York Stock Exchange,Murilo Pinto de Oliveira Ferreira,"Vale SA is a metals and mining company. It produces and supplies iron ore, iron ore pellets, nickel, manganese ore, ferroalloys, copper, coal, phosphates, potash, cobalt and others.",http://www.vale.com,4.0936681E10,33561969,1.141854,7.98
MS,Morgan Stanley,Financial Services,Brokers & Exchanges,New York Stock Exchange,James P. Gorman,"Morgan Stanley is a global investment bank. The company has institutional securities, wealth-management, and asset-management segments.",http://www.morganstanley.com,6.0501119E10,19878846,1.382799,38.4
JPM,JP Morgan Chase & Co.,Financial Services,Banks,New York Stock Exchange,James S. Dimon,"JPMorgan Chase & Co is a financial services firm and a banking institution. It is engaged in investment banking, commercial banking, treasury and securities services, asset management, retail financial services, and credit card businesses.",http://www.jpmorganchase.com,2.84089844E11,24215849,1.218381,93.25
ORCL,Oracle Corporation,Technology,Application Software,New York Stock Exchange,Mark V. Hurd / Safra Ada Catz,"Oracle Corp is a computer software company. It sells enterprise information technology solutions, including databases, middleware, applications, and hardware. The Company primarily offers software licenses, support, and maintenance services worldwide.",http://www.oracle.com,1.6332392E11,15298874,1.145868,51.79
NKE,Nike Inc.,Consumer Cyclical,Manufacturing - Apparel & Furniture,New York Stock Exchange,,"Nike Inc designs, develops and markets footwear, apparel, equipment, and accessory products. It is a seller of athletic footwear and athletic apparel. It sells its products through NIKE-owned in-line and factory retail stores and internet websites.",http://www.nike.com,1.33017272E11,10394614,0.825463,85.54
PG,Procter & Gamble Company (The),Consumer Defensive,Consumer Packaged Goods,New York Stock Exchange,David S. Taylor,"Procter & Gamble Co is a consumer goods company. The firm markets its products internationally through various channels which include mass merchandisers, grocery stores, membership club stores, drug stores, and department stores.",http://www.pg.com,2.89204273E11,11838384,0.381112,116.82
