symbol,date,year,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
ABG,2009-12-31,2009,11.07,32.0,354.24,84000000.0,366000000.0,282000354.24
ABG,2010-12-31,2010,18.42,32.0,589.44,21000000.0,347000000.0,326000589.44
ABG,2011-12-31,2011,23.29,31800000.0,740622000.0,11400000.0,458600000.0,1187822000.0
ABG,2012-12-31,2012,34.3,31100000.0,1066729999.9999999,6200000.0,466000000.0,1526530000.0
ABG,2013-12-31,2013,47.7,30700000.0,1464390000.0,5400000.0,554400000.0,2013390000.0
ABG,2014-12-31,2014,74.21,29900000.0,2218879000.0,2900000.0,707400000.0,2923379000.0
ABG,2015-12-31,2015,47.08,26300000.0,1238204000.0,2800000.0,954300000.0,2189704000.0
ABG,2016-12-31,2016,64.9,22500000.0,1460250000.0000002,3400000.0,926700000.0,2383550000.0
ABG,2017-12-31,2017,74.2,20800000.0,1543360000.0,4700000.0,875500000.0,2414160000.0
ABG,2018-12-31,2018,70.22,20100000.0,1411422000.0,8300000.0,905300000.0,2308422000.0
ABG,2019-12-31,2019,99.43,19100000.0,1899113000.0000002,3500000.0,939400000.0,2835013000.0
AEO,2009-01-31,2009,9.31,205169000.0,1910123390.0,473342000.0,93299000.0,1530080390.0
AEO,2010-01-30,2010,17.55,206171000.0,3618301050.0,693960000.0,36445000.0,2960786050.0
AEO,2011-01-29,2011,15.35,154557142.0,2372452129.7,667593000.0,41301000.0,1746160129.6999998
AEO,2012-01-28,2012,14.25,194445000.0,2770841250.0,719545000.0,93781000.0,2145077250.0
AEO,2013-02-02,2013,21.67,196211000.0,4251892370.0000005,509119000.0,86199000.0,3828972370.0000005
AEO,2014-02-01,2014,14.19,192802000.0,2735860380.0,418933000.0,104894000.0,2421821380.0
AEO,2015-01-31,2015,14.93,194437000.0,2902944410.0,410697000.0,105045000.0,2597292410.0
AEO,2016-01-30,2016,15.26,194351000.0,2965796260.0,260067000.0,91005000.0,2796734260.0
AEO,2017-01-28,2017,15.8,181429000.0,2866578200.0,378613000.0,81924000.0,2569889200.0
AEO,2018-02-03,2018,19.91,177938000.0,3542745580.0,413613000.0,82528000.0,3211660580.0
AEO,2019-02-02,2019,20.36,176476000.0,3593051360.0,333330000.0,94067000.0,3353788360.0
AIN,2009-12-31,2009,19.89,-47202083.0,-938849430.87,97466000.0,15307000.0,-1021008430.87
AIN,2010-12-31,2010,23.21,31054545.0,720775989.45,122301000.0,1599000.0,600073989.45
