symbol,date,year,Stock Price,Number of Shares,Market Capitalization,- Cash & Cash Equivalents,+ Total Debt,Enterprise Value
CMCSA,2013-12-31,2013,24.56,2.625E9,64470000000.0,1718000000.0,47847000000.0,110599000000.0
CMCSA,2012-12-31,2012,18.54,2.678E9,49650120000.0,10951000000.0,40458000000.0,79157120000.0
CMCSA,2011-12-31,2011,11.29,2.746E9,31002339999.999996,1620000000.0,39309000000.0,68691340000.0
CMCSA,2010-12-31,2010,10.42,2.808E9,29259360000.0,5984000000.0,31415000000.0,54690360000.0
CMCSA,2009-12-31,2009,7.48,5.709366964E9,42706064890.72,671000000.0,29096000000.0,71131064890.72
SIRI,2013-12-31,2013,3.6,6.227646E9,22419525600.0,134805000.0,36657000.0,22321377600.0
SIRI,2012-12-31,2012,3.15,4.209073E9,13258579950.0,520945000.0,23200000.0,12760834950.0
SIRI,2011-12-31,2011,2.03,0.0,0.0,0.0,0.0,0.0
SIRI,2010-12-31,2010,1.62,0.0,0.0,0.0,0.0,0.0
SIRI,2009-12-31,2009,0.84,3.858653816E9,3241269205.44,383489000.0,3077163000.0,5934943205.440001
CZR,2013-12-31,2013,21.45,1.286E8,2758470000.0,2771200000.0,21115500000.0,21102770000.0
CZR,2012-12-31,2012,7.85,1.253E8,983605000.0,1757500000.0,21412100000.0,20638205000.0
F,2013-12-31,2013,15.25,3.935E9,60008750000.0,14468000000.0,15683000000.0,61223750000.0
F,2012-12-31,2012,12.93,3.812661996E9,49297719608.28,15659000000.0,0.0,33638719608.28
F,2011-12-31,2011,12.29,3.800100206E9,46703231531.74,17148000000.0,0.0,29555231531.739998
F,2010-12-31,2010,16.27,0.0,0.0,0.0,0.0,0.0
F,2009-12-31,2009,10.84,3.307100876E9,35848973495.84,20894000000.0,0.0,14954973495.839996
NKE,2013-05-31,2013,31.84,8.973E8,28570032000.0,3337000000.0,1267000000.0,26500032000.0
NKE,2012-05-31,2012,21.95,4.6E8,10097000000.0,2317000000.0,277000000.0,8057000000.0
NKE,2011-05-31,2011,22.5,4.755E8,10698750000.0,1955000000.0,476000000.0,9219750000.0
NKE,2010-05-31,2010,16.89,0.0,0.0,3079100000.0,453200000.0,-2625900000.0
NKE,2009-05-31,2009,12.95,1.937394444E9,25089258049.8,2291100000.0,812100000.0,23610258049.8
GM,2013-12-31,2013,36.84,1.393E9,51318120000.00001,20021000000.0,7137000000.0,38434120000.00001
GM,2012-12-31,2012,27.94,1.566E9,43754040000.0,18422000000.0,5172000000.0,30504040000.0
GM,2011-12-31,2011,24.23,1.536E9,37217280000.0,15499000000.0,5295000000.0,27013280000.0
GM,2010-12-31,2010,36.6,1.5E9,54900000000.0,22151000000.0,11590000000.0,44339000000.0
TWX,2013-12-01,2013,63.1603,0.0,0.0,1862000000.0,20165000000.0,18303000000.0
LOW,2013-02-01,2013,38.38,1.15E9,44137000000.0,541000000.0,9077000000.0,52673000000.0
LOW,2012-02-03,2012,28.13,1.271E9,35753230000.0,1014000000.0,7627000000.0,42366230000.0
LOW,2011-01-28,2011,25.27,0.0,0.0,652000000.0,0.0,-652000000.0
LOW,2010-01-29,2010,23.71,0.0,0.0,632000000.0,5080000000.0,4448000000.0
MAT,2013-12-31,2013,43.01,3.43394E8,14769375940.0,1039216000.0,1604278000.0,15334437940.0
MAT,2012-12-31,2012,37.11,3.41665E8,12679188150.0,1335711000.0,1500000000.0,12843477150.0
MAT,2011-12-31,2011,29.53,3.44669E8,10178075570.0,1369113000.0,1550000000.0,10358962570.0
MAT,2010-12-31,2010,23.51,3.60615E8,8478058650.000001,1281123000.0,1200000000.0,8396935650.000001
MAT,2009-12-31,2009,19.72,3.61480253E8,7128390589.16,1116997000.0,751950000.0,6763343589.16
DIS,2013-09-28,2013,69.0,1.786442476E9,123264530844.0,3931000000.0,14288000000.0,133621530844.0
DIS,2012-09-29,2012,50.08,1.794274732E9,89857278578.56,3387000000.0,14311000000.0,100781278578.56
DIS,2011-10-01,2011,34.88,1.856004398E9,64737433402.240005,3185000000.0,13977000000.0,75529433402.24
DIS,2010-10-02,2010,36.03,1.912606953E9,68911228516.59,2722000000.0,12480000000.0,78669228516.59
DIS,2009-10-03,2009,27.41,1.858556517E9,50943034130.97,3417000000.0,12701000000.0,60227034130.97
LEN,2013-11-30,2013,34.96,1.90473E8,6658936080.0,970505000.0,166950000.0,5855381080.0
LEN,2012-11-30,2012,36.84,1.86662E8,6876628080.000001,1310743000.0,928000000.0,6493885080.000001
LEN,2011-11-30,2011,16.26,184541.0,3000636.66,1163604000.0,1037000000.0,-123603363.33999991
LEN,2010-11-30,2010,14.32,0.0,0.0,0.0,0.0,0.0
LEN,2009-11-30,2009,12.38,1.83325495E8,2269569628.1000004,1339828000.0,0.0,929741628.1000004
CTRP,2013-12-31,2013,23.64,5333767.5569,126090265.045116,1298695751.4013,1060300361.1935999,-112305125.16258407
CTRP,2012-12-31,2012,9.76,5748792.9763,56108219.448688,671866827.9346,252549170.62219998,-363209437.86371195
CTRP,2011-12-31,2011,13.26,5692443.3693,75481799.076918,589318640.8629,0.0,-513836841.785982
CTRP,2010-12-31,2010,21.37,5159840.0,110265780.80000001,360320338.9394,0.0,-250054558.1394
CTRP,2009-12-31,2009,18.89,4902303.0614,92604504.82984601,226712856.4523,0.0,-134108351.622454
MGM,2013-12-31,2013,24.11,4.89661E8,11805726710.0,1803669000.0,13447230000.0,23449287710.0
MGM,2012-12-31,2012,12.57,4.88988E8,6146579160.0,1543509000.0,13589283000.0,18192353160.0
MGM,2011-12-31,2011,13.15,4.88652E8,6425773800.0,1865913000.0,13470167000.0,18030027800.0
MGM,2010-12-31,2010,14.49,0.0,0.0,0.0,0.0,0.0
MGM,2009-12-31,2009,11.06,4.41219641E8,4879889229.46,2056207000.0,14262218000.0,17085900229.46
CCL,2013-11-30,2013,40.14,7.75E8,31108500000.0,462000000.0,9500000000.0,40146500000.0
CCL,2012-11-30,2012,36.03,7.78E8,28031340000.0,465000000.0,8846000000.0,36412340000.0
CCL,2011-11-30,2011,32.64,7.87E8,25687680000.0,450000000.0,9072000000.0,34309680000.0
CCL,2010-11-30,2010,45.92,7.88E8,36184960000.0,429000000.0,8624000000.0,44379960000.0
CCL,2009-11-30,2009,32.1,8.37676005E8,26889399760.5,538000000.0,10047000000.0,36398399760.5
DISCA,2013-12-31,2013,44.05,3.57E8,15725849999.999998,408000000.0,6499000000.0,21816850000.0
DISCA,2012-12-31,2012,30.63,3.76E8,11516880000.0,1201000000.0,5243000000.0,15558880000.0
DISCA,2011-12-31,2011,21.04,4.01E8,8437040000.0,1048000000.0,4245000000.0,11634040000.0
DISCA,2010-12-31,2010,21.12,4.29E8,9060480000.0,466000000.0,3618000000.0,12212480000.0
DISCA,2009-12-31,2009,16.55,5.66928242E8,9382662405.1,623000000.0,3495000000.0,12254662405.1
EBAY,2013-12-31,2013,22.38,1.295E9,28982100000.0,4494000000.0,4123000000.0,28611100000.0
EBAY,2012-12-31,2012,23.48,1.292E9,30336160000.0,6817000000.0,4519000000.0,28038160000.0
EBAY,2011-12-31,2011,13.29,1.292775E9,17180979750.0,4691101000.0,2089648000.0,14579526750.0
EBAY,2010-12-31,2010,12.76,1.305593E9,16659366680.0,5577411000.0,1794227000.0,12876182680.0
EBAY,2009-12-31,2009,9.69,1.292961679E9,12528798669.51,3999818000.0,0.0,8528980669.51
KBH,2013-11-30,2013,18.13,8.263E7,1498081900.0,532523000.0,2150498000.0,3116056900.0
KBH,2012-11-30,2012,15.37,7.7106E7,1185119220.0,0.0,1722815000.0,2907934220.0
KBH,2011-11-30,2011,6.72,0.0,0.0,0.0,0.0,0.0
KBH,2010-11-30,2010,13.45,0.0,0.0,0.0,0.0,0.0
KBH,2009-11-30,2009,13.82,8.8072926E7,1217167837.32,1289007000.0,0.0,-71839162.68000007
DISCK,2013-12-31,2013,36.99,3.57E8,13205430000.0,408000000.0,6499000000.0,19296430000.0
DISCK,2012-12-31,2012,31.65,3.76E8,11900400000.0,1201000000.0,5243000000.0,15942400000.0
DISCK,2011-12-31,2011,19.47,4.01E8,7807470000.0,1048000000.0,4245000000.0,11004470000.0
DISCK,2010-12-31,2010,16.79,4.29E8,7202910000.0,466000000.0,3618000000.0,10354910000.0
GES,2013-02-02,2013,27.42,8.6262E7,2365304040.0,329021000.0,10215000.0,2046498040.0
GES,2012-01-28,2012,34.36,9.1533E7,3145073880.0,491805000.0,12236000.0,2665504880.0
GES,2011-01-29,2011,45.29,9.141E7,4139958900.0,427037000.0,14395000.0,3727316900.0
GES,2010-01-30,2010,41.87,9.2376131E7,3867788604.97,502063000.0,16494000.0,3382219604.97
WYNN,2013-12-31,2013,201.51,1.0054E8,20259815400.0,2435041000.0,6587568000.0,24412342400.0
WYNN,2012-12-31,2012,123.49,1.03092E8,12730831080.0,1725219000.0,5782820000.0,16788432080.0
WYNN,2011-12-31,2011,115.41,1.24039E8,14315340990.0,1262587000.0,3217719000.0,16270472990.0
WYNN,2010-12-31,2010,114.51,1.22787E8,14060339370.0,662561000.0,3267529000.0,16665307370.0
WYNN,2009-12-31,2009,61.88,1.23125207E8,7618987809.16,1991830000.0,3569103000.0,9196260809.16
HBI,2013-12-28,2013,16.05,9.9859E7,1602736950.0,0.0,1503192000.0,3105928950.0
HBI,2012-12-29,2012,9.63,9.8709E7,950567670.0000001,0.0,1343716000.0,2294283670.0
HBI,2011-01-01,2011,5.76,0.0,0.0,0.0,0.0,0.0
HBI,2010-01-02,2010,5.79,3.80598908E8,2203667677.32,38943000.0,1958916000.0,4123640677.32
CHS,2013-02-02,2013,18.37,1.62989E8,2994107930.0,56859000.0,173024000.0,3110272930.0
CHS,2012-01-28,2012,11.19,1.6915287E8,1892820615.3,58919000.0,137714000.0,1971615615.3
CHS,2011-01-29,2011,12.08,1.76778E8,2135478240.0,0.0,0.0,2135478240.0
CHS,2010-01-30,2010,14.05,1.77981872E8,2500645301.6,37043000.0,0.0,2463602301.6
SBUX,2013-09-29,2013,39.81,7.493E8,29829633000.0,2575700000.0,1299400000.0,28553333000.0
SBUX,2012-09-30,2012,22.93,7.544E8,17298392000.0,1188600000.0,549600000.0,16659392000.0
SBUX,2011-10-02,2011,20.62,7.483E8,15429946000.0,1148100000.0,549500000.0,14831346000.0
SBUX,2010-10-03,2010,14.44,7.444E8,10749136000.0,0.0,0.0,10749136000.0
SBUX,2009-09-27,2009,9.55,1.4742E9,14078610000.000002,599800000.0,549300000.0,14028110000.000002
LVS,2013-12-31,2013,77.91,8.22282515E8,64064030743.649994,3600414000.0,9760259000.0,70223875743.65
LVS,2012-12-31,2012,51.56,8.0639566E8,41577760229.6,2512766000.0,10230067000.0,49295061229.6
LVS,2011-12-31,2011,49.29,0.0,0.0,0.0,0.0,0.0
LVS,2010-12-31,2010,45.6,0.0,0.0,0.0,0.0,0.0
LVS,2009-12-31,2009,15.5,6.60309999E8,10234804984.5,5074057000.0,11025462000.0,16186209984.5
IMAX,2013-12-31,2013,27.36,6.7151025E7,1837252044.0,29546000.0,0.0,1807706044.0
IMAX,2012-12-31,2012,23.63,6.58541060417E7,1556132525.7653708,21336000.0,22000000.0,1556796525.7653708
IMAX,2011-12-31,2011,20.85,6.4503864E7,1344905564.4,18138000.0,110166000.0,1436933564.4
