symbol,date,year,Stock Price,Number of Shares,Market Capitalization,- Cash & Cash Equivalents,+ Total Debt,Enterprise Value
SIRI,2019-12-31,2019,7.19,4.501E9,32362190000.0,106000000.0,7844000000.0,40100190000.0
SIRI,2018-12-31,2018,5.92,4.461827E9,26414015840.0,54431000.0,6887983000.0,33247567840.0
SIRI,2017-12-31,2017,5.95,4.637553E9,27593440350.0,69022000.0,6746348000.0,34270766350.0
SIRI,2016-12-31,2016,4.76,4.91705E9,23405158000.0,213939000.0,5848249000.0,29039468000.0
SIRI,2015-12-31,2015,3.7,5.375707E9,19890115900.0,111838000.0,5448378000.0,25226655900.0
SIRI,2014-12-31,2014,3.55,5.788944E9,20550751200.0,147724000.0,17975000.0,20421002200.0
SIRI,2013-12-31,2013,3.6,6.227646E9,22419525600.0,134805000.0,36657000.0,22321377600.0
SIRI,2012-12-31,2012,3.15,4.209073E9,13258579950.0,520945000.0,23200000.0,12760834950.0
SIRI,2011-12-31,2011,2.03,0.0,0.0,0.0,0.0,0.0
SIRI,2010-12-31,2010,1.62,0.0,0.0,0.0,0.0,0.0
SIRI,2009-12-31,2009,0.84,3.858653816E9,3241269205.44,383489000.0,3077163000.0,5934943205.440001
CZR,2019-12-31,2019,13.79,6.76E8,9322040000.0,1755000000.0,8542000000.0,16109040000.0
CZR,2018-12-31,2018,8.96,6.86E8,6146560000.000001,1491000000.0,8965000000.0,13620560000.0
CZR,2017-12-31,2017,13.85,2.79E8,3864150000.0,2558000000.0,8913000000.0,10219150000.0
CZR,2016-12-31,2016,8.85,1.46E8,1292100000.0,1513000000.0,6838000000.0,6617100000.0
CZR,2015-12-31,2015,6.93,1.45E8,1004850000.0,1338000000.0,6964000000.0,6630850000.0
CZR,2014-12-31,2014,10.89,1.42E8,1546380000.0,2806000000.0,23213000000.0,21953380000.0
CZR,2013-12-31,2013,21.45,1.286E8,2758470000.0,2771200000.0,21115500000.0,21102770000.0
CZR,2012-12-31,2012,7.85,1.253E8,983605000.0,1757500000.0,21412100000.0,20638205000.0
F,2019-12-31,2019,8.84,3.972E9,35112480000.0,17504000000.0,52841000000.0,70449480000.0
F,2018-12-31,2018,8.71,3.974E9,34613540000.0,16718000000.0,140066000000.0,157961540000.0
F,2017-12-31,2017,11.06,3.975E9,43963500000.0,18492000000.0,15931000000.0,41402500000.0
F,2016-12-31,2016,12.37,3.973E9,49146010000.0,15905000000.0,15907000000.0,49148010000.0
F,2015-12-31,2015,11.94,3.969E9,47389860000.0,14272000000.0,12839000000.0,45956860000.0
F,2014-12-31,2014,14.71,3.912E9,57545520000.0,10757000000.0,13824000000.0,60612520000.0
F,2013-12-31,2013,15.25,3.935E9,60008750000.0,14468000000.0,15683000000.0,61223750000.0
F,2012-12-31,2012,12.93,3.812661996E9,49297719608.28,15659000000.0,0.0,33638719608.28
F,2011-12-31,2011,12.29,3.800100206E9,46703231531.74,17148000000.0,0.0,29555231531.739998
F,2010-12-31,2010,16.27,0.0,0.0,0.0,0.0,0.0
F,2009-12-31,2009,10.84,3.307100876E9,35848973495.84,20894000000.0,0.0,14954973495.839996
NKE,2019-05-31,2019,83.95,1.5797E9,132615815000.0,4466000000.0,3470000000.0,131619815000.0
NKE,2018-05-31,2018,79.68,1.6238E9,129384384000.00002,4249000000.0,3474000000.0,128609384000.00002
NKE,2017-05-31,2017,59.0,1.6578E9,97810200000.0,3808000000.0,3477000000.0,97479200000.0
NKE,2016-05-31,2016,55.2,1.6979E9,93724080000.0,3138000000.0,2054000000.0,92640080000.0
NKE,2015-05-31,2015,54.01,8.617E8,46540417000.0,3852000000.0,1186000000.0,43874417000.0
NKE,2014-05-31,2014,38.78,8.834E8,34258252000.0,2220000000.0,1206000000.0,33244252000.0
NKE,2013-05-31,2013,31.84,8.973E8,28570032000.0,3337000000.0,1267000000.0,26500032000.0
NKE,2012-05-31,2012,21.95,4.6E8,10097000000.0,2317000000.0,277000000.0,8057000000.0
NKE,2011-05-31,2011,22.5,4.755E8,10698750000.0,1955000000.0,476000000.0,9219750000.0
NKE,2010-05-31,2010,16.89,0.0,0.0,3079100000.0,453200000.0,-2625900000.0
NKE,2009-05-31,2009,12.95,1.937394444E9,25089258049.8,2291100000.0,812100000.0,23610258049.8
BABA,2019-03-31,2019,183.88,3.0709610065672E9,564688309887.5768,28354626865.6716,20044776119.403,556378459141.3081
BABA,2018-03-31,2018,181.99,3.2012202993197E9,582590082273.1921,31531245056.162,19862838158.5192,570921675375.5493
BABA,2017-03-31,2017,104.04,2.8720683314468E9,298809989203.7251,20858511101.4367,13311856044.1155,291263334146.4039
BABA,2016-03-31,2016,70.86,3.087056175661E9,218748800607.33844,16517396010.5149,8901499922.6844,211132904519.50793
BABA,2015-03-31,2015,84.0,3.1847622299742E9,267520027317.8328,17843992248.062,8493701550.3876,258169736620.1584
GM,2019-12-31,2019,33.33,1.424E9,47461920000.0,19069000000.0,14386000000.0,42778920000.0
GM,2018-12-31,2018,39.09,1.411E9,55155990000.00001,20844000000.0,13963000000.0,48274990000.00001
GM,2017-12-31,2017,42.7,1.465E9,62555500000.00001,15512000000.0,13502000000.0,60545500000.00001
GM,2016-12-31,2016,36.33,1.54E9,55948200000.0,12960000000.0,10752000000.0,53740200000.0
GM,2015-12-31,2015,29.64,1.586E9,47009040000.0,15238000000.0,8765000000.0,40536040000.0
GM,2014-12-31,2014,32.62,1.605E9,52355099999.99999,18954000000.0,9410000000.0,42811099999.99999
GM,2013-12-31,2013,36.84,1.393E9,51318120000.00001,20021000000.0,7137000000.0,38434120000.00001
GM,2012-12-31,2012,27.94,1.566E9,43754040000.0,18422000000.0,5172000000.0,30504040000.0
GM,2011-12-31,2011,24.23,1.536E9,37217280000.0,15499000000.0,5295000000.0,27013280000.0
GM,2010-12-31,2010,36.6,1.5E9,54900000000.0,22151000000.0,11590000000.0,44339000000.0
FOXA,2019-06-30,2019,37.82,6.21E8,23486220000.0,3234000000.0,6751000000.0,27003220000.0
DIS,2019-09-28,2019,130.53,1.656E9,216157680000.0,5418000000.0,46986000000.0,257725680000.0
DIS,2018-09-29,2018,113.04,1.487242596E9,168117903051.84,4150000000.0,20874000000.0,184841903051.84
DIS,2017-09-30,2017,98.04,1.543480961E9,151322873416.44,4017000000.0,25291000000.0,172596873416.44
DIS,2016-10-01,2016,92.69,1.607101183E9,148962208652.27,4610000000.0,20170000000.0,164522208652.27
DIS,2015-10-03,2015,115.04,1.687857933E9,194171176612.32,4269000000.0,17336000000.0,207238176612.32
DIS,2014-09-27,2014,88.45,1.716544546E9,151828365093.7,3421000000.0,14795000000.0,163202365093.7
DIS,2013-09-28,2013,69.0,1.786442476E9,123264530844.0,3931000000.0,14288000000.0,133621530844.0
DIS,2012-09-29,2012,50.08,1.794274732E9,89857278578.56,3387000000.0,14311000000.0,100781278578.56
DIS,2011-10-01,2011,34.88,1.856004398E9,64737433402.240005,3185000000.0,13977000000.0,75529433402.24
DIS,2010-10-02,2010,36.03,1.912606953E9,68911228516.59,2722000000.0,12480000000.0,78669228516.59
DIS,2009-10-03,2009,27.41,1.858556517E9,50943034130.97,3417000000.0,12701000000.0,60227034130.97
MGM,2019-12-31,2019,31.3,5.24173E8,16406614900.0,2329604000.0,11168904000.0,25245914900.0
MGM,2018-12-31,2018,28.99,5.44253E8,15777894470.0,1526762000.0,15131416000.0,29382548470.0
MGM,2017-12-31,2017,37.11,5.72253E8,21236308830.0,1499995000.0,12909094000.0,32645407830.0
MGM,2016-12-31,2016,29.11,5.68134E8,16538380740.0,1446581000.0,12987595000.0,28079394740.0
MGM,2015-12-31,2015,20.08,5.42873E8,10900889840.0,1670312000.0,12696753000.0,21927330840.0
MGM,2014-12-31,2014,19.48,4.90875E8,9562245000.0,1713715000.0,14159202000.0,22007732000.0
MGM,2013-12-31,2013,24.11,4.89661E8,11805726710.0,1803669000.0,13447230000.0,23449287710.0
MGM,2012-12-31,2012,12.57,4.88988E8,6146579160.0,1543509000.0,13589283000.0,18192353160.0
MGM,2011-12-31,2011,13.15,4.88652E8,6425773800.0,1865913000.0,13470167000.0,18030027800.0
MGM,2010-12-31,2010,14.49,0.0,0.0,0.0,0.0,0.0
MGM,2009-12-31,2009,11.06,4.41219641E8,4879889229.46,2056207000.0,14262218000.0,17085900229.46
CCL,2019-11-30,2019,51.02,0.0,0.0,0.0,0.0,0.0
CCL,2018-11-30,2018,48.68,7.09E8,34514120000.0,982000000.0,9475000000.0,43007120000.0
