symbol,date,year,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap
SIRI,2019-12-31,2019,7794000000.0,0.350617915494,3383000000.0,4411000000.0,280000000.0,1461000000.0,1741000000.0,1647000000.0,390000000.0,1197000000.0,283000000.0,0.0,0.0,914000000.0,0.0,914000000.0,0.2,0.2,4501000000.0,4616000000.0,0.0489601386482,0.565948165255,0.273158840133,0.211316397229,0.117269694637,0.212214523993,2129000000.0,1647000000.0,914000000.0,0.153579676674,0.117269694637,106000000.0,0.0,106000000.0,0.0,11000000.0,1003000000.0,1626000000.0,7310000000.0,0.0,153000000.0,10146000000.0,11149000000.0,4000000.0,2000000.0,3293000000.0,7842000000.0,7844000000.0,1930000000.0,0.0,0.0,8136000000.0,11885000000.0,395000000,-1143000000.0,-736000000.0,0.0,7738000000.0,0.0,456000000.0,482000000.0,250000000.0,2017000000.0,363000000.0,313000000.0,-2166000000.0,-3000000.0,-1666000000.0,-2159000000.0,-226000000.0,-1959000000.0,0.0,106000000.0,1654000000.0,0.0
SIRI,2018-12-31,2018,5770692000.0,0.0636967342159,405686000.0,5365006000.0,123219000.0,840863000.0,964082000.0,1726948000.0,350073000.0,1420574000.0,244681000.0,0.0,0.0,1175893000.0,0.0,1175893000.0,0.26,0.26,4461827000.0,4560720000.0,0.0441671490466,0.929698899196,0.352503477919,0.29926185629,0.203769842508,0.264217012448,2034189000.0,1726948000.0,1175893000.0,0.246170476608,0.203769842508,54431000.0,0.0,54431000.0,0.0,22198000.0,478233000.0,1512865000.0,4791346000.0,0.0,292703000.0,7694503000.0,8172736000.0,4335000.0,3447000.0,2802678000.0,6884536000.0,6887983000.0,1931613000.0,0.0,0.0,7182709000.0,9989657000.0,242235000,-2057309000.0,-1816921000.0,0.0,6833552000.0,0.0,4270000.0,307241000.0,133175000.0,1880418000.0,355703000.0,-2377000.0,-1321891000.0,-379276000.0,-15998000.0,-1314286000.0,-201434000.0,-1515146000.0,0.0,54431000.0,1524715000.0,0.0
SIRI,2017-12-31,2017,5425129000.0,0.0813017966125,35448000.0,5389681000.0,96917000.0,771762000.0,2838296000.0,1640864000.0,345820000.0,1264209000.0,616301000.0,0.0,0.0,647908000.0,0.0,647908000.0,0.14,0.14,4637553000.0,4723535000.0,0.0402753446307,0.993465961823,0.35916491571,0.302456218092,0.119427206247,0.288955156642,1948516000.0,1640864000.0,647908000.0,0.233028375915,0.119427206247,69022000.0,0.0,69022000.0,0.0,20199000.0,470901000.0,1462766000.0,4809428000.0,0.0,505528000.0,7858473000.0,8329374000.0,2839000.0,5105000.0,2821538000.0,6741243000.0,6746348000.0,1881825000.0,0.0,0.0,7024346000.0,9853248000.0,1696662000,-3243473000.0,-1523874000.0,0.0,6677326000.0,0.0,7364000.0,307652000.0,124069000.0,1855589000.0,287970000.0,-107736000.0,-2021500000.0,-1146812000.0,-1512578000.0,-1409035000.0,-190242000.0,-853694000.0,0.0,69022000.0,1567619000.0,0.0
SIRI,2016-12-31,2016,5017220000.0,0.0978460229608,40882000.0,4976338000.0,69025000.0,727830000.0,2680275000.0,1432129000.0,331225000.0,1091660000.0,345727000.0,0.0,0.0,745933000.0,0.0,745933000.0,0.15,0.15,4917050000.0,4964728000.0,0.00968411562527,0.991851662873,0.340769589534,0.28544273522,0.148674564799,0.301642742395,1709716000.0,1432129000.0,745933000.0,0.217582645369,0.148674564799,213939000.0,0.0,213939000.0,0.0,20363000.0,642649000.0,1398693000.0,4749908000.0,0.0,1084330000.0,7360946000.0,8003595000.0,2840000.0,5485000.0,2668601000.0,5842764000.0,5848249000.0,1832609000.0,0.0,0.0,6119054000.0,8795610000.0,3094760000,-3891381000.0,-792015000.0,0.0,5634310000.0,0.0,7955000.0,277587000.0,108604000.0,1719237000.0,205829000.0,-0.0,-1673518000.0,-210124000.0,-1470985000.0,-1673518000.0,-48079000.0,-1407012000.0,0.0,213939000.0,1513408000.0,0.0
SIRI,2015-12-31,2015,4570058000.0,0.0930289792507,42724000.0,4527334000.0,54933000.0,678990000.0,2479430000.0,1178688000.0,299103000.0,891964000.0,382240000.0,0.0,0.0,509724000.0,0.0,509724000.0,0.09,0.09,5375707000.0,5435166000.0,0.0,0.99065132215,0.319202513404,0.257915326239,0.111535564757,0.242701296132,1458774000.0,1178688000.0,509724000.0,0.195175641097,0.111535564757,111838000.0,0.0,111838000.0,0.0,22295000.0,561889000.0,1415401000.0,4798453000.0,9888000.0,1115731000.0,7484773000.0,8046662000.0,2840000.0,4764000.0,2496487000.0,5443614000.0,5448378000.0,1771915000.0,0.0,0.0,5705871000.0,8213153000.0,4760068000,-4931210000.0,-166491000.0,9888000.0,5336540000.0,0.0,10795000.0,280086000.0,84310000.0,1244051000.0,134892000.0,-0.0,-2018254000.0,-138858000.0,-797117000.0,-2018254000.0,-0.0,-1141079000.0,0.0,111838000.0,1109159000.0,0.0
SIRI,2014-12-31,2014,4181095000.0,0.100550262628,44397000.0,4136698000.0,54109000.0,630418000.0,2194357000.0,1119670000.0,269010000.0,830786000.0,337545000.0,0.0,0.0,493241000.0,0.0,493241000.0,0.09,0.08,5788944000.0,5862020000.0,0.0,0.989381489777,0.331514352102,0.267793484721,0.117969335784,0.270646325903,1386093000.0,1119670000.0,493241000.0,0.0,0.117969335784,147724000.0,1159283000.0,147724000.0,220579000.0,19397000.0,1549746000.0,1510112000.0,4850153000.0,5922000.0,437736000.0,6825763000.0,8375509000.0,587755000.0,4340000.0,2313792000.0,13635000.0,17975000.0,1632381000.0,0.0,0.0,1296620000.0,7065672000.0,6745520000,-5440934000.0,1309837000.0,1165205000.0,-129749000.0,0.0,3455260000.0,266423000.0,78212000.0,1253244000.0,121646000.0,1144000.0,-2496799000.0,-96324000.0,-1016420000.0,-2496799000.0,-0.0,-1144001000.0,0.0,147724000.0,1131598000.0,0.0
SIRI,2013-12-31,2013,3799095000.0,0.116710855839,26478000.0,3772617000.0,50564000.0,553159000.0,1921171000.0,1044553000.0,204671000.0,637092000.0,259877000.0,0.0,0.0,377215000.0,0.0,377215000.0,0.06,0.06,6227646000.0,6384791000.0,0.0,0.993030445409,0.341625308133,0.274947849422,0.0992907521397,0.244588513843,1297867000.0,1044553000.0,377215000.0,0.0,0.0992907521397,134805000.0,1146248000.0,134805000.0,103937000.0,13863000.0,1419013000.0,1594574000.0,4904615000.0,5718000.0,868057000.0,7425767000.0,8844780000.0,578333000.0,20320000.0,2738904000.0,16337000.0,36657000.0,1586611000.0,0.0,0.0,1202517000.0,6099038000.0,8674129000,-5934175000.0,2745742000.0,1151966000.0,-98148000.0,0.0,2157617000.0,253314000.0,68876000.0,1102832000.0,173617000.0,-525352000.0,-1762360000.0,-700688000.0,-1782160000.0,-1762360000.0,-0.0,-788284000.0,0.0,134805000.0,929215000.0,0.0
SIRI,2012-12-31,2012,3402040000.0,1,31766000.0,3370274000.0,42605000.0,510810000.0,510810000.0,872025000.0,265321000.0,474468000.0,-2998234000.0,0.0,0.0,3472702000.0,64675000.0,3472702000.0,0.55,0.51,4209073000.0,6873786000.0,0.0475810564949,0.990662661227,0.334599240456,0.256324146688,1.02077047889,0.208543109428,1138320000.0,872025000.0,3472702000.0,0.0,1.02077047889,520945000.0,1163721000.0,520945000.0,106142000.0,25337000.0,1828182000.0,1571922000.0,4334975000.0,3999000.0,1219256000.0,7226661000.0,9054843000.0,587652000.0,4234000.0,2314588000.0,18966000.0,23200000.0,1474138000.0,0.0,0.0,264529000.0,5015278000.0,10345572000,-6311390000.0,4039565000.0,1167720000.0,-497745000.0,0.0,2436161000.0,266295000.0,63822000.0,806765000.0,97293000.0,-0.0,0.0,-97319000.0,-915824000.0,-520945000.0,-327062000.0,-962491000.0,0.0,-253045000.0,709472000.0,0.0
SIRI,2011-12-31,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
SIRI,2010-12-31,2010,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
